,0
0,Alabama
1,Arizona
2,Connecticut
3,Georgia
4,Idaho
5,Indiana
6,Iowa
7,Kentucky
8,Maryland
9,Massachusetts
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,New Hampshire
16,New Jersey
17,North Carolina
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
